Date,Price,Open,High,Low,Vol.,Change %
1/2/2019,"25,639.00","26,327.80","26,327.80","25,600.70",1.01M,-2.62%
1/3/2019,"24,491.00","25,639.00","25,868.60","24,491.00",1.39M,-4.48%
1/4/2019,"24,146.60","24,108.30","24,452.70","23,572.60",1.83M,-1.41%
1/7/2019,"24,720.60","24,491.00","25,256.30","24,491.00",1.01M,2.38%
1/8/2019,"24,491.00","24,950.20","24,950.20","24,414.40",702.48K,-0.93%
1/9/2019,"25,256.30","24,720.60","25,294.60","24,567.50",1.35M,3.12%
1/10/2019,"24,873.70","25,256.30","25,332.90","24,873.70",516.52K,-1.51%
1/11/2019,"24,414.40","24,873.70","25,103.30","24,376.20",1.18M,-1.85%
1/14/2019,"24,414.40","24,414.40","24,758.90","24,070.00",950.72K,0.00%
1/15/2019,"24,873.70","24,299.60","25,103.30","24,299.60",730.36K,1.88%
1/16/2019,"24,644.10","25,026.70","25,065.00","24,644.10",457.40K,-0.92%
1/17/2019,"24,452.70","24,644.10","24,797.10","24,414.40",374.24K,-0.78%
1/18/2019,"24,261.40","24,452.70","24,720.60","24,223.10",640.35K,-0.78%
1/21/2019,"25,141.50","24,491.00","25,524.20","24,261.40",1.52M,3.63%
1/22/2019,"25,065.00","25,179.80","25,332.90","25,026.70",709.27K,-0.30%
1/23/2019,"25,026.70","24,797.10","25,141.50","24,567.50",575.72K,-0.15%
1/24/2019,"24,873.70","24,911.90","25,141.50","24,873.70",728.89K,-0.61%
1/25/2019,"24,529.30","25,026.70","25,026.70","24,491.00",718.12K,-1.38%
1/28/2019,"24,414.40","24,529.30","24,758.90","24,337.90",685.69K,-0.47%
1/29/2019,"24,261.40","24,414.40","24,414.40","24,146.60",799.76K,-0.63%
1/30/2019,"24,261.40","24,414.40","24,682.30","24,184.80",540.07K,0.00%
1/31/2019,"24,108.30","24,644.10","24,644.10","24,108.30",852.88K,-0.63%
2/1/2019,"24,184.80","24,070.00","24,376.20","24,031.80",675.45K,0.32%
2/11/2019,"24,452.70","24,567.50","24,682.30","24,337.90",794.50K,1.11%
2/12/2019,"24,835.40","24,529.30","25,026.70","24,529.30",1.76M,1.57%
2/13/2019,"24,873.70","24,911.90","24,950.20","24,682.30",1.96M,0.15%
2/14/2019,"24,797.10","24,873.70","24,911.90","24,758.90",1.28M,-0.31%
2/15/2019,"25,371.10","24,758.90","25,868.60","24,567.50",2.04M,2.31%
2/18/2019,"25,639.00","25,639.00","25,792.10","25,409.40",1.20M,1.06%
2/19/2019,"25,179.80","25,639.00","25,830.30","25,179.80",1.44M,-1.79%
2/20/2019,"26,021.70","25,103.30","26,710.50","24,988.50",2.97M,3.34%
2/21/2019,"26,213.00","26,213.00","26,519.10","26,021.70",2.71M,0.74%
2/22/2019,"26,021.70","26,174.70","26,557.40","26,021.70",1.84M,-0.73%
2/25/2019,"26,021.70","26,404.30","26,404.30","25,792.10",2.12M,0.00%
2/26/2019,"25,715.50","25,792.10","26,021.70","25,639.00",1.77M,-1.18%
2/27/2019,"25,715.50","25,715.50","25,983.40","25,639.00",942.09K,0.00%
2/28/2019,"24,873.70","25,715.50","25,830.30","24,873.70",2.26M,-3.27%
3/1/2019,"25,141.50","24,950.20","25,332.90","24,950.20",1.45M,1.08%
3/4/2019,"25,715.50","25,332.90","25,830.30","25,256.30",1.15M,2.28%
3/5/2019,"26,480.90","25,409.40","27,016.60","25,409.40",5.30M,2.98%
3/6/2019,"26,595.70","26,480.90","26,710.50","26,327.80",2.01M,0.43%
3/7/2019,"26,710.50","26,787.00","26,978.30","26,557.40",2.14M,0.43%
3/8/2019,"26,021.70","26,366.10","26,557.40","25,945.10",2.28M,-2.58%
3/11/2019,"25,753.80","26,098.20","26,098.20","25,600.70",1.43M,-1.03%
3/12/2019,"27,169.70","26,098.20","27,169.70","25,868.60",2.13M,5.50%
3/13/2019,"27,246.20","27,016.60","27,514.10","26,940.10",3.60M,0.28%
3/14/2019,"27,705.40","27,246.20","28,088.10","26,940.10",3.33M,1.69%
3/15/2019,"28,470.80","27,705.40","28,700.40","27,475.80",4.00M,2.76%
3/18/2019,"28,547.30","28,470.80","28,776.90","28,241.20",3.68M,0.27%
3/19/2019,"28,011.60","28,432.50","28,547.30","27,935.00",3.55M,-1.88%
3/20/2019,"27,628.90","27,667.20","27,935.00","27,169.70",3.40M,-1.37%
3/21/2019,"26,633.90","27,743.70","28,049.80","26,633.90",2.82M,-3.60%
3/22/2019,"26,863.50","27,093.20","27,322.80","26,633.90",2.36M,0.86%
3/25/2019,"26,404.30","26,098.20","26,787.00","25,639.00",2.63M,-1.71%
3/26/2019,"26,251.30","26,710.50","26,863.50","26,174.70",1.31M,-0.58%
3/27/2019,"26,710.50","26,672.20","26,863.50","26,251.30",1.56M,1.75%
3/28/2019,"27,246.20","26,366.10","27,437.60","26,366.10",2.76M,2.01%
3/29/2019,"27,399.30","27,246.20","27,552.40","27,246.20",2.08M,0.56%
4/1/2019,"27,169.70","27,399.30","27,782.00","27,016.60",1.14M,-0.84%
4/2/2019,"26,633.90","27,552.40","27,552.40","26,633.90",1.83M,-1.97%
